;ComplaintType;Complaint;Date;Decision;Report_name;PrimaryKey
2923;Press and Defamation;Complaint of Sh. K. B. Sangappa, Head Constable, 56 Bellary District and Sh. K. Bheemappa, Head Con-stable, 23 Bellary District of Kar-nataka against Horaata, Karnataka;March 31, 1993;Rejected;AnnualReport1993;2923
2924;Press and Defamation;Complaint of Sh. K. B. Sangappa, Head Constable, 56 Bellary District and Sh. K Bheemappa, Head Con-stable, 23 Bellary District of Kar-nataka against Horaata, Karnataka;March 31, 1993;Rejected;AnnualReport1993;2924
2925;Press and Defamation;Complaint of Sh. K. B. Sangappa, Head Constable, 56 Bellary District and Sh. K Bheemappa, Head Constable, 23 Bellary District of Karnataka against Thungabhadra, Karnataka.;March 31, 1993;Rejected;AnnualReport1993;2925
2926;Press and Defamation;Complaint of Sh. K. B. Sangappa, Head Constable, 56 Bellary District and Sh. K Bheemappa, Head Constable, 23 Bellary District of Karnataka against Thungabhadra, Karnataka;March 31, 1993;Rejected;AnnualReport1993;2926
2927;Press and Defamation;Complaint of Sh. K. Natwar Singh against 'Sunday';March 31, 1993;Upheld (Censured);AnnualReport1993;2927
2930;Press and Defamation;Complaint of The President, Gondwana Samaj, Kanker, District Baster, M.P. against Sandesh, MP.;March 31, 1993;Rejected;AnnualReport1993;2930
2931;Press and Defamation;Complaint of The President, Gondwana Samaj, Kanker, District Bastar, M.P. against Deshbandhu, MP.;March 31, 1993;Rejected;AnnualReport1993;2931
2933;Press and Defamation;Complaint of Sh. S. S. Bisht, Manager, Garhwal Mandal Vikas Nigam Ltd., Garhwal against Chingari, Hindi daily of Bijnore, U.P.;March 31, 1993;Upheld (displeasure);AnnualReport1993;2933
2934;Press and Defamation;Complaint of Sh. D P Singh, Deputy Director, National Soil Con-servation (Agriculture) Directorate, Jhansi against Saptahik Swaran Dar-pan, Jhansi;March 31, 1993;Upheld (censured);AnnualReport1993;2934
2935;Press and Defamation;Complaint of Sh. D. P. Singh, Deputy Director, National Soil Conservation (Agriculture) Directorate, Jhansi against Lalit Brahman, Jhansi;March 31, 1993;Upheld (censured);AnnualReport1993;2935
2937;Press and Defamation;Complaint of Sh. Harbhajan Singh against Dilli ki Kalam, Delhi;March 31, 1993;Upheld (censured);AnnualReport1993;2937
2941;Press and Defamation;Complaint of Sh. M. C. Thomas against Swarthavesham weekly;March31, 1993;Upheld (warned);AnnualReport1993;2941
2945;Press and Morality;Complaint of Shri Dinesh Bhai Trivedi, MP (Rajya Sabha) against Sunday Statesmen Miscellany;March31, 1993;Observations;AnnualReport1993;2945
2946;Press and Morality;Publication of an allegedly obscene advertisement regarding kamasutra condom in Debonair issue of October 1991.;March31, 1993;Observations;AnnualReport1993;2946
2954;Principles and Publications;Complaint of Dr. K.N. Pandey, Works Manager/Admn. Ordance Factory Bhandara against Saptahik Mahila Vichar Manch, Bhandara.;June 2, 1998;Upheld (Admonished);AnnualReport1999;2954
2957;Principles and Publications;Complaint of Smt. Malati Shivashankar Pol, Assistant Director, Women & Child Welfare Department, Bellary against Bellary Sangarsha.;June 2, 1998;Dismissed not Pursued;AnnualReport1999;2957
2967;Principles and Publications;Complaint of Sh. V Sarma Rao, IAS, Commissioner of Social Welfare Department, Government of Andhra Pradesh, Hyderabad against Vaartha, Telugu daily.;June 2, 1998;Upheld (Directed to Publish Rejoinder).;AnnualReport1999;2967
2968;Principles and Publications;Complaint of Dr. Indira Murthy, Mumbai against Junior Science Refresher.;June 2, 1998;Settled (Offers to Remuneration-Proceedings Dropped).;AnnualReport1999;2968
2977;Principles and Publications;Complaint of Shri A Rashid Khan, Chennai against Daily Thanthi, Chennai.;Sandhya Satta Darshan, New Delhi.;Upheld;AnnualReport1999;2977
2979;Principles and Publications;Complaint of the General Secretary, Consumer's Assistance & Welfare Centre, Guntur (A.P.) against Eenadu, Telegu daily.;Sandhya Satta Darshan, New Delhi.;Upheld (Warned);AnnualReport1999;2979
2989;Principles and Publications;Complaint of Dr. H.K. Das, Director, Generic Engineering Unit & Professor, Centre for Biotechnology, Jawahark University, New Delhi aga Express, New Delhi. Nehru Mian;August 4, 1998;Upheld (Reprimanded);AnnualReport1999;2989
2995;Principles and Publications;Complaint of Sh. H.H. Kidwai, Sr. General Manager, Malvika Steel Ltd., Jagadishpur, District Sultanpur (U.P.) against Chetna Vichar Dhara, Lucknow.;August 4, 1998;Upheld (Censured);AnnualReport1999;2995
3004;Principles and Publications;Complaint of Ms. Hilary Pais,;Bangalore against India Today.;Upheld (Directions);AnnualReport1999;3004
3006;Principles and Publications;Complaint of Shri S S Kamath, Secretary, ICDS Ltd., Manipal (Karnataka) against Karavali Ale.;Bangalore against India Today.;Upheld;AnnualReport1999;3006
3013;Principles and Publications;Complaint of Shri Sunil Agnihotri, Sub-Editor, Dainik Bhaskar, Rewa, M.P. against Nav Sandesh, Satna.;October 5, 1998;No Substance;AnnualReport1999;3013
3016;Principles and Publications;Complaint of Mrs. Panna S Khatau, Mumbai against Sunday, Mid-Day.;December 1, 1998;Upheld (Admonished);AnnualReport1999;3016
3040;Press and Defamation;Complaint of Sh.Shivajirao Lomte, Advocate and Notary Public for Beed District against Marathwada Sathi.;June 2, 1998;Upheld (Directions);AnnualReport1999;3040
3047;Press and Defamation;Complaint of Sh. C Chennigappa, MLA, Bangalore against Hi Bangalore.;June 2, 1998;Upheld (Admonished);AnnualReport1999;3047
3055;Press and Defamation;Complaint of Sh. Mahabir Singh, Additional Deputy Commissioner of Police (Security), New Delhi against Public Asia.;August 4, 1998;Upheld (Censured);AnnualReport1999;3055
3057;Press and Defamation;Complaint of Sh. C.P. Rajendran, Trivandrum against Malayalam, Kochi.;August 4, 1998;Dismissed on merits.;AnnualReport1999;3057
3058;Press and Defamation;Complaint of Dr. S.E. Anjaneyulu, Manjary Nursing Home, Hyderabad against Eenadu.;August 4, 1998;Dismissed on merits.;AnnualReport1999;3058
3059;Press and Defamation;Complaint of Dr. S.E. Anjaneyulu, Manjary Nursing Home, Hyderabad against Vaartha.;August 4, 1998;Upheld (Reprimanded);AnnualReport1999;3059
3060;Press and Defamation;Complaint of General Manager, Telecommunications, Guntur against Demand, Guntur.;August 4, 1998;Upheld (Censured);AnnualReport1999;3060
3067;Press and Defamation;Complaint of Dr. Dinesh Chandra, Director, G.B. Pant Hospital, New Delhi against Jansatta, N.D.;August 4, 1998;Upheld (Reprimanded);AnnualReport1999;3067
3069;Press and Defamation;Complaint of Sh. Hamid Hussain, Incharge Telephone Centre Bilari against Bilari Mail, Bilari District Moradabad.;August 4, 1998;Upheld (Censured);AnnualReport1999;3069
3080;Press and Defamation;Complaint of Sh. S.C. Gupta, Director, Baron International Ltd., New Delhi against Mid-Day.;October 5, 1998;Upheld (Censured);AnnualReport1999;3080
3084;Press and Defamation;Complaint of Sh. T Sambi Reddy, Jagalmudi against Eenadu, Hyderabad.;October 5, 1998;Dismissed ;AnnualReport1999;3084
3085;Press and Defamation;Complaint of the President, ISKCON, Bangalore against Hai Bangalore.;October 5, 1998;Upheld (Censured);AnnualReport1999;3085
3086;Press and Defamation;Complaint of Sh. Prabhakar B Kore, Belgaum against Hai Belgavi, Belgaum (Karnataka);October 5, 1998;Upheld (Warned);AnnualReport1999;3086
3088;Press and Defamation;Complaint of Sh. Y Baburaju, Sub-Inspector, Police Station, Hadagali, Bellary, Karnataka against Editor Bellary Belagaithu, Bellary.;October 5, 1998;Dismissed on merits;AnnualReport1999;3088
3091;Press and Defamation;Complaint of Sh. Philipose Mathew, Reporter, Coffee Land Newspaper, Kodagu against Kodagu Ront.;October 5, 1998;Dismissed for lack of substance;AnnualReport1999;3091
3100;Press and Defamation;Complaint of Sh. Samasekhar Sundram, Junior Assistant Editor, The Times of India, Mumbai against Veto Power.;October  5,1998;Upheld;AnnualReport1999;3100
3101;Press and Defamation;Complaint of Sh. Samasekhar Sundram, Junior Assistant Editor, The Times of India, Mumbai against Mumbai Sandhya, Mumbai.;October  5,1998;Upheld;AnnualReport1999;3101
3103;Press and Defamation;Complaint of Shri O.P. Bharati against Saamna, Mumbai.;October 5, 1998;Upheld (Censured);AnnualReport1999;3103
3110;Press and Defamation;Complaint of Dr. (Mrs.) Uma Mishra, against Narmada Kesari, Hoshangabad.;October 5, 1998;Upheld (Censured);AnnualReport1999;3110
3112;Press and Defamation;Complaint of Prof. P.K. Gupta, Meerut against Amar Ujala, Meerut.;December 1, 1998;Upheld (Warned);AnnualReport1999;3112
3116;Press and Defamation;Complaint of Sh. R.S. Arora, Hon. Secretary, N.S.C.T. Mumbai against Mid-Day, Mumbai.;December 1, 1998;Upheld (Admonished);AnnualReport1999;3116
3119;Press and Defamation;Complaint of Ms. Sumita Singh, IAS, Administrator, HUDA, Faridabad against Public Asia.;December 1, 1998;To publish Rejoinder;AnnualReport1999;3119
3130;Press and Defamation;Complaint of Sh. V.K. Sharma,. Deputy General Manager, Tansen Hotel, Gwalior against Agradoot, Raipur.;December 1, 1998;Upheld (Admonished);AnnualReport1999;3130
3135;Press and Defamation;Complaint of Sardar Amar Jeet Singh against Amar Ujala, Meerut.;December 1, 1998;Upheld (Admonished);AnnualReport1999;3135
3142;Press and Defamation;Complaint of Sh. Anoop Kumar, Telecom District Engineer, Chhapra (Bihar) against Hindustan, Patna.;February 2, 1999;Upheld (Admonished);AnnualReport1999;3142
3146;Press and Defamation;Complaint of Smt. Manju Sharma, Correspondent, Aryavarta, Patna against Aryavarta.;February 2, 1999;Upheld (Admonished);AnnualReport1999;3146
3147;Press and Defamation;Complaint of Sh. S K Das, Secretary, ITC, Jalda (Rourkela) against The Samya, Bhubaneshwar.;February 2, 1999;Upheld;AnnualReport1999;3147
3148;Press and Defamation;Complaint of Sh. Manjul Bharati, Purnia against Aaj, Bihar edition.;February 2, 1999;Upheld (Warned);AnnualReport1999;3148
3150;Press and Defamation;Complaint of Sh. Suren Kumar Dash, IAS, Tahsildar District Bargarh (Orissa) against Nava Bharat, Raipur.;February 2, 1999;Settled;AnnualReport1999;3150
3153;Press and Defamation;Complaint of District Inspector of Schools, Sonepur against Pragatibadi, Bhubaneshwar.;February 2, 1999;Dismissed;AnnualReport1999;3153
3157;Press and Defamation;Complaint of Miss. Archana Nandi, Balasore against Matrubhasa;February 2, 1999;Upheld (Censured);AnnualReport1999;3157
3158;Press and Defamation;Complaint of Sh. SC Kakar, Bhubaneshwar against Prajatantra, Cuttack.;February 2, 1999;Upheld (Censured);AnnualReport1999;3158
3175;Press and Defamation;Complaint of Sh. Dinesh Jain, Vice President, Flex Group of Industries through his advocate against Public Asia.;February 2, 1999;Upheld (Censured);AnnualReport1999;3175
3176;Press and Defamation;Complaint of Smt. Rani, Kasganj, District Etha against Dainik Aaj, Agra.;February 2, 1999;Upheld (Censured);AnnualReport1999;3176
3190;Press and Morality;Suo-motu inquiry against The Asian Age, New Delhi dated January 25 & February 7, 1998 respectively.;October 5, 1998;Upheld (Censured);AnnualReport1999;3190
3191;Press and Morality;Suo-motu inquiry against Blitz for publishing obscene photograph in its issue dated June 14-20, 1997.;October 5, 1998;Upheld (Censured);AnnualReport1999;3191
3192;Press and Morality;Suo-motu inquiry initiated by Press Council of India against Blitz issue dated April 12-18, 1997.;October 5, 1998;Upheld (Admonished);AnnualReport1999;3192
3193;Press and Morality;Suo-motu inquiry by the Press Council of India against issue dated June 7-13, 1997 of Blitz, Mumbai.;October 5, 1998;Upheld (Warned);AnnualReport1999;3193
3194;Press and Morality;Suo-motu inquiry against The Asian Age, New Delhi issue dated 9.4.1998.;October 5, 1998;Settled ;AnnualReport1999;3194
3195;Press and Morality;Suo-motu inquiry against Indian Express issue dated 11.4.1998.;October 5, 1998;Upheld (Censured);AnnualReport1999;3195
3196;Press and Morality;Suo-motu inquiry against Jansatta, New Delhi issue dated 16.4.1998.;October 5, 1998;Settled;AnnualReport1999;3196
3197;Press and Morality;Complaint of Sh. M Asad, Mumbai against Mid-Day, Mumbai.;October 5, 1998;Upheld (Censured);AnnualReport1999;3197
3199;Press and Morality;Suo-motu action against Asian Age for publishing obscene photographs in the issue dated 12.10.98.;February2, 1999;Strong Disapproval;AnnualReport1999;3199
3203;Principles and Publication;Complaint of Shri Sudhir Ranjan Majumdar, M.P. (Rajya Sabha) against Dainik, Desher Katha, Agartala (Tripura).;June 23, 1997;Dropped -- complaint not actionable;AnnualReport1998;3203
3205;Principles and Publication;Complaint of Assam State Co-operative Agriculture & Rural Development Bank Ltd. against Asomiya Pratidin.;June 23, 1997;Dismissed on merits;AnnualReport1998;3205
3209;Principles and Publication;Complaint of Shri Umesh Chandra Saxena, Gandhidham against Sandesh, Rajkot.;June 23, 1997;Dismissed on merits;AnnualReport1998;3209
3216;Principles and Publication;Complaint of Shri P. Khanna, Director, National Environmental Engineering Research Institute, Nagpur against Down to Earth, New Delhi.;June 23, 1997;Upheld -disapproved with directions;AnnualReport1998;3216
3217;Principles and Publication;Complaint of Shri Chainsukh Sancheti, MLA, Maharashtra against Daily Deshonnati, Buldhana.;June 23, 1997;Dismissed on merits;AnnualReport1998;3217
3219;Principles and Publication;Complaint of Shri N.B. Deshpande, Nagpur against Tarun Bharat, Nagpur.;June 23, 1997;Upheld;AnnualReport1998;3219
3233;Principles and Publication;Complaint of M/s. Associated Brew-eries & Distilleries, Mumbai through M/s. Mahimtura & Co., Advocates, Mumbai against APLE NHAVE SHAHER, Mumbai.;June 23, 1997;Withdrawn;AnnualReport1998;3233
3234;Principles and Publication;Complaint of Shri M.S. Kilpady, Mumbai against Mid-Day.;June 23, 1997;Withdrawn;AnnualReport1998;3234
3235;Principles and Publication;Complaint of Shri George Pinto, M/s. Print India, Mumbai through his advocate Shri Prasanna Sarportdar against Mid-Day.;June 23, 1997;Disposed with directions;AnnualReport1998;3235
3236;Principles and Publication;Complaint of Shri K.R. Deshmukh, Secretary, Maharashtra State Service Commission, Mumbai against Loksatta, Mumbai.;June 23, 1997;Upheld (Reprimanded);AnnualReport1998;3236
3237;Principles and Publication;Complaint of Shri K.R. Deshmukh, Secretary, Maharashtra State Service Commission, Mumbai against Lokmat, Aurangabad.;June 23, 1997;Upheld (Reprimanded);AnnualReport1998;3237
3238;Principles and Publication;Complaint of Shri K.R. Deshmukh, Secretary, Maharashtra State Service Commission, Mumbai against Sakal, Pune.;June 23, 1997;Upheld (Reprimanded);AnnualReport1998;3238
3245;Principles and Publication;Complaint of Deputy Commissioner, Kulu against Himsatta, Chandigarh.;June 23, 1997;Upheld (Censured);AnnualReport1998;3245
3250;Principles and Publication;Complaint of Shri Brij Mohan, District Rewari against Punjab Kesari, Delhi.;June 23, 1997;Disposed on merits;AnnualReport1998;3250
3251;Principles and Publication;Complaint of Shri Vijay Kumar Arora, Advocate of Karnal against Punjab Kesari, Jalandhar.;June 23, 1997;Dismissed on merits;AnnualReport1998;3251
3255;Principles and Publication;Complaint of Shri A.C. Padhi, Joint Secretary, UPSC, New Delhi against Punjab Kesari, Delhi.;June 23,1997;Disposed of with directions;AnnualReport1998;3255
3256;Principles and Publication;Complaint of Major General Vombatkere, Additional Directorate General, Discipline & Vigilance, Adjutant General's Branch, Army Headquarter, DHQ, PO, New Delhi against The Week.;June 23,1997;Dropped (Regrets published);AnnualReport1998;3256
3260;Principles and Publication;Complaint of Shri V.K. Saxena, Brig., DDGMIL (C) Army Liaison Cell, New Delhi against India To-day.;June 23,1997;Disposed with directions;AnnualReport1998;3260
3264;Principles and Publication;Complaint of Shri Sukdeo Paswan, M.P. (Lok Sabha) (through his advocate Shri Prabhash Kumar Yadav) against Jansatta, New Delhi.;June 23,1997;Dismissed on merits;AnnualReport1998;3264
3283;Principles and Publication;Complaint of Shri Raj Kumar, Ex-MP (Lok Sabha) against Purvanchal Sandesh, Mau (U.P.).;September 22, 1997;Dismissed;AnnualReport1998;3283
3302;Principles and Publication;Complaint of Sardar Harmahender Singh Bagga, Hyderabad against Eenadu, Hyderabad.;September 22,1997;Dismissed on merits;AnnualReport1998;3302
3325;Principles and Publication;Complaint of Shri Prem Prakash Khurana of Chandausi against Chandausi Ki Udaan, U.P.;September 22,1997;Sub-judice;AnnualReport1998;3325
3326;Principles and Publication;Complaint of Shri K.K. Kulshrestha, Project Officer, Sarurpur (Meerut) against Sardhana Doon, Harra (Meerut).;September 22,1997;Dropped for lack of substance;AnnualReport1998;3326
3331;Principles and Publication;Suo-motu action regarding violation of the norms on identification of victim of assault by The Pioneer.;September 22,1997;Upheld;AnnualReport1998;3331
3333;Principles and Publication;Complaint of Distt. Collector/Dis-trict Electoral Officer, Mohoba against Dainik Amar Ujala, Agra.;September 22,1997;Sub-judice;AnnualReport1998;3333
3334;Principles and Publication;Complaint of Shri Rakesh Kumar Yadav, Lucknow against India To-day.;September 22,1997;Dismissed on merits;AnnualReport1998;3334
3336;Principles and Publication;Complaint of Shri Khaleefa Jasram, Joint Secretary, Wrestling Federa-tion of India, New Delhi against Jansatta, New Delhi.;September 22,1997;Dismissed on merits;AnnualReport1998;3336
3340;Principles and Publication;Complaint of Shri M.A. Mandana of Somwarpet, Distt. Kodagu, against Brahmagiri, Kodava weekly, Madikeri, Kodagu (Karnataka).;September 22, 1997;Contradiction directed.;AnnualReport1998;3340
3343;Principles and Publication;Complaint of Shri H.R. Channabasavaradhy, Secretary, VSSN Baraka Tumkur Distt. against Koratagere Vartha.;September 22, 1997;Dismissed for lack of substance;AnnualReport1998;3343
3344;Principles and Publication;Complaint of Shri H.R. Channabasavaradhy, Secretary, VSSN Baraka Tumkur Distt. against Prajapragathi.;September 22, 1997;Dismissed for lack of substance;AnnualReport1998;3344
3347;Principles and Publication;Complaint of Dr. V.M. Mirashi, Sangli against daily Marathi Pudhari, Kolhapur.;September 22,1997;Contradiction directed;AnnualReport1998;3347
3348;Principles and Publication;Complaint of Dr. V.M. Mirashi, Sangli against daily Marathi Pudhari, Kolhapur.;September 22,1997;Contradiction directed;AnnualReport1998;3348
3350;Principles and Publication;Complaint of M/s. Sanchayani Sav-ing & Investment (India) Ltd., against Shreeyogeshwar Manthan weekly, Burhanpur.;November 20, 1997;Sub-judice;AnnualReport1998;3350
3353;Principles and Publication;Complaint of Shri C.K. Mishra, IAS, Karimnagar, against Eenadu.;November 20, 1997;Disposed on merits;AnnualReport1998;3353
3355;Principles and Publication;Complaint of Shri S.C. Kakar, Managing Director, Orissa Drugs & Chemicals Ltd., Bhubaneshwar against Prajathantra, Cuttack.;November 20, 1997;Withdrawn;AnnualReport1998;3355
3366;Principles and Publication;Complaint of the Personal Manager, Voltas Ltd., New Delhi against Discovery.;November 20, 1997;Directions.;AnnualReport1998;3366
3373;Principles and Publication;Complaint of Shri Arun Madan, Advocate, Amritsar against Punjab Kesari, Jalandhar.;November 20, 1997;Directions;AnnualReport1998;3373
3376;Principles and Publication;Complaint of Shri Arun Madan, Advocate, Amritsar against Daily Public Sahara, Jalandhar.;November 20, 1997;Directions;AnnualReport1998;3376
3381;Principles and Publication;Complaint of Shri R.P. Malhotra against Punjab Kesari, Jalandhar.;January 22, 1998;Directions;AnnualReport1998;3381
3390;Principles and Publication;Complaint of Shri Mukundan C. Menon, Convenor, Kerala Civil Liberties Committee, Trivandrum against Mathrubhumi, Kerala.;January 22,1998;Dismissed;AnnualReport1998;3390
3403;Press and Defamation;Complaint of Shri Nilmoni Barik, Howrah against Aajkal, Calcutta.;June 23, 1997;Dropped on merits;AnnualReport1998;3403
3413;Press and Defamation;Complaint of Dr. (Mrs.) Gita Bajpai, Baroda against Loksatta.;June 23,1997;Dismissed;AnnualReport1998;3413
3416;Press and Defamation;Complaint of Shri Keshav Bhimrao Telang, District Special Auditor for Co-op. Society, Jalna against Kaliya-Ugacha, Bhrashta-char, Jalna.;June 23,1997;Upheld;AnnualReport1998;3416
3417;Press and Defamation;Complaint of Shri Keshav Bhimrao Telang, District Special Auditor for Co-op. Society, Jalna against Kaliya-Ugacha Bhrashta-char, Jalna.;June 23,1997;Upheld;AnnualReport1998;3417
3423;Press and Defamation;Complaint of Km. Preeti Durgadas Verma, Amravati against Mathru-bhumi, Akola (Maharashtra);June 23, 1997;Upheld;AnnualReport1998;3423
3427;Press and Defamation;Complaint of Shri I.P. Hingorani, Advocate, on behalf of his client Shri U.K. Ramsanghani, Ulhasnagar against Ulhas Jyoti, Ulhasnagar.;June 23, 1997;Dismissed for non-prosecution;AnnualReport1998;3427
3433;Press and Defamation;Complaint of Shri R.D. Mehta, Shree Managing Trustee, Mahalakshmi Temple Charities, Mumbai against Apla Vartahar, Mumbai.;June 23, 1997;Sub-judice;AnnualReport1998;3433
3443;Press and Defamation;Complaint of Shri L.A. Khan, Quality Inspector, Food Corpora-tion of India, Hathras, Aligarh against Dainik Aaj, Agra.;September 22,1997;Upheld (Reprimanded);AnnualReport1998;3443
3444;Press and Defamation;Complaint of Shri L.A. Khan, Quality Inspector, Food Corpora-tion of India, Hathras, Aligarh against Dainik Aaj, Agra.;September 22,1997;Upheld (Reprimanded);AnnualReport1998;3444
3446;Press and Defamation;Complaint of Shri Jawahar Lal Jayswal, Varanasi against Jansatta, New Delhi.;September 22,1997;Dismissed on merits;AnnualReport1998;3446
3447;Press and Defamation;Complaint of the Principal, National Inter College, Bhalaswaganj, Haridwar against Amar Ujala, Meerut.;September 22, 1997;Dismissed on merits;AnnualReport1998;3447
3450;Press and Defamation;Complaint of Shri Shivnath Prasad Singh, Principal, Rajkeey Buniyadi Vidhayalaya, Shreenagar, Betia against Chankaya Bhumi, Betia, Bihar.;September 22, 1997;Upheld (Reprimanded);AnnualReport1998;3450
3460;Press and Defamation;Complaint of Dr. B.K. Sinha, IPS (Haryana) against Mazdoor Morcha, Faridabad, Haryana.;September  22, 1997;Upheld (Censured);AnnualReport1998;3460
3461;Press and Defamation;Complaint of Ms. Mariam Khatoon, Dy. General Secretary, National Colliery Workers Federation, Chirimiri (M.P.) against Awaz, Dhanbad.;September  22, 1997;Upheld;AnnualReport1998;3461
3463;Press and Defamation;Complaint of Ms. Bharat Km. Jain, Khachroud, District Ujjain against Avantika, Ujjain.;September  22, 1997;Upheld;AnnualReport1998;3463
3464;Press and Defamation;Complaint of Shri Pratap Singh Chawla, Faridabad against Dainik Sher-e-Haryana, Faridabad.;September  22, 1997;Clarification directed;AnnualReport1998;3464
3466;Press and Defamation;Complaint of Dr. P.B. Gogoi, Pusa Institute, New Delhi against Dainik Janambhoomi, Jorhat (Assam).;September  22, 1997;Dismissed on merits;AnnualReport1998;3466
3474;Press and Defamation;Complaint of Shri G. Babu Rao, Chief Exec. Officer, Zilla Parishad, Visakhapatnam against Vaartha.;November 20, 1997;Upheld;AnnualReport1998;3474
3480;Press and Defamation;Complaint of Smt. Shushila Lal, Bihar Sharif, Nalanda, Bihar against Dharmadharam, Bihar Sharif, Nalanda.;September  22,1997;Upheld;AnnualReport1998;3480
3481;Press and Defamation;Complaint of Shri M.D.N. Panicker, General Secretary, Rourkela Shramik Sangh, Rourkela against The Sambad, Rourkela.;September  22,1997;Withdrawn;AnnualReport1998;3481
3494;Press and Defamation;Complaint against Economic Times by Vinay Bagla, Chairman, Neha Exports Limited.;November 20,1997;Settled;AnnualReport1998;3494
3504;Press and Defamation;Complaint of Ms. Manjit Kaur, Jhanji, Patiala against Janewakh, Patiala.;November  20,1997;Sub-judice;AnnualReport1998;3504
3524;Press and Defamation;Complaint of Shri P.V. Auti, Pune against Dainik Loksatta, Pune.;January 22, 1998;Upheld (Admonished);AnnualReport1998;3524
3529;Press and Defamation;Complaint of Ms. Vasudha Vasudeva and others against Eevara Karnataka, Bangalore.;January 22, 1998;Upheld;AnnualReport1998;3529
3530;Press and Defamation;Complaint of Ms. Vasudha Vasudeva and others against Eevara Karnataka, Bangalore.;January 22, 1998;Upheld;AnnualReport1998;3530
3531;Press and Defamation;Complaint of Ms. Vasudha Vasudeva and others against Eevara Karnataka, Bangalore.;January 22, 1998;Upheld;AnnualReport1998;3531
3544;Communal, Casteist and Anti-National Writings;Complaint of the Government of Tripura against Dainik Sambad, Tripura.;June 23, 1997;Upheld;AnnualReport1998;3544
3545;Communal, Casteist and Anti-National Writings;Complaint of Shri Sayedullah Mongrum, MLA against Agradoot, Assamese Bi-weekly of Guwahati.;June 23, 1997;Upheld ;AnnualReport1998;3545
3550;Communal, Casteist and Anti-National Writings;Suo-motu inquiry into write-up of Shri Sanjay Nirupam in the weekly column in Dopahar Ka Samna pub-lished in the issue dated 3.2.96 as translated in communalism combat, Mumbai issue No. 11 dated March, 1996.;June 23, 1997;Upheld (Censured);AnnualReport1998;3550
3551;Communal, Casteist and Anti-National Writings;Complaint of Dr. R.A. Khan, Mumbai against Samna, Mumbai.;June 23, 1997;Upheld (Censured);AnnualReport1998;3551
3552;Communal, Casteist and Anti-National Writings;Complaint of Shri Omkar Bhaway, Joint General Secretary, Vishwa Hindu Parishad, New Delhi against News from India.;June 23, 1997;Upheld (Censured);AnnualReport1998;3552
3553;Communal, Casteist and Anti-National Writings;Complaint of the Special Sec-retary, Ministry of Home Affairs through Ministry of I & B against Outlook.;June 23, 1997;Dropped on merits;AnnualReport1998;3553
3561;Communal, Casteist and Anti-National Writings;Suo-motu action against Indore Samachar.;September  22,1997;Sub-judice;AnnualReport1998;3561
3562;Communal, Casteist and Anti-National Writings;Complaint of Shri Dev Shrimali, Gwalior and Shri R.N. Mishra, Bhopal against Nav Bharat, Hindi daily, M.P.;September  22,1997;Upheld;AnnualReport1998;3562
3568;Communal, Casteist and Anti-National Writings;Complaint of Shri Kumar Alok, Director, Information, Cultural Af-fairs & Tourism, Government of Tripura Syandan Patrika, Agartala.;January 22, 1998;Withdrawn;AnnualReport1998;3568
3571;Press and Morality;Suo-motu inquiry against the Blitz in publication of obscene pictures in its issue dated July 27-2 August, 1996.;June 23, 1997;Settled;AnnualReport1998;3571
3572;Press and Morality;Suo-motu inquiry for publication of obscene picture in Blitz issue dated February 15-21, 1997.;June 23, 1997;Settled;AnnualReport1998;3572
3573;Press and Morality;Complaint of Dr. Leo Rebello, President, All India (Press) Letter Writers Association, Mumbai against Mid-Day.;June 23, 1997;Upheld;AnnualReport1998;3573
3574;Press and Morality;Suo-motu action against The Asian Age regarding publication of an obscene photograph.;June 23, 1997;Upheld (Censured);AnnualReport1998;3574
3575;Press and Morality;Complaint of Shri Om Prakash Soni against Punjab Kesari, New Delhi.;June 23, 1997;Assurance;AnnualReport1998;3575
3580;Press and Morality;Suo-motu action regarding publi-cation of obscene photograph in The Asian Age, on April 26, 1997.;September 22, 1997;Charges not proved (Dropped);AnnualReport1998;3580
3581;Press and Morality;Suo-motu enquiry initiated by Press Council of India against The Asian Age, New Delhi.;September 22, 1997;Upheld;AnnualReport1998;3581
3582;Press and Morality;Suo-motu cognizance of an allegedly computer generated objectionable photograph published in Stardust issue dated May 1997, India Today and Asian Age.;November  20, 1997;Upheld;AnnualReport1998;3582
3583;Press and Morality;Suo-motu cognizance of an allegedly computer generated objectionable photograph published in India Today, Stardust issue dated May, 1997 and The Asian Age.;November  20, 1997;Upheld;AnnualReport1998;3583
3584;Press and Morality;Suo-motu cognizance of an allegedly computer generated objectionable photograph published in The Asian Age, India Today and Stardust issue dated May, 1997.;November  20, 1997;Upheld;AnnualReport1998;3584
3585;Press and Morality;Suo-motu cognizance of an allegedly computer generated objectionable photograph published in Stardust issue dated May 1997, India Today and The Asian age.;November  20, 1997;Upheld;AnnualReport1998;3585
3586;Press and Morality;Suo-motu cognizance of an allegedly computer generated objectionable photograph published in Stardust issue dated May 1997, India Today and The Asian Age.;November  20, 1997;Upheld;AnnualReport1998;3586
3593;Principles and Publications;Complaint of Dr. (Ms.) Harshwanti Bisht, Reader and Head of the Department of Economics, Government of P.G. College, Uttarkanshi against Amar Ujala, Meerut.;April 6, 1999;Directions;AnnualReport2000;3593
